"analog_libid","analog_name","drug_ccmsid","analog_mgf_scan","chemical_source","cleanup_name","broad_pert_iname","Kine_FDA_drug_class","Kine_broad_disease_area","Kine_broad_indication","Kine_broad_moa","inchikey"
"CCMSLIB00012724481","related spectra of 'Abacavir sulfate (Delta Mass:13.98)'","CCMSLIB00000078595",2121,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724482","related spectra of 'Abacavir sulfate (Delta Mass:27.995)'","CCMSLIB00000078595",2122,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724483","related spectra of 'Abacavir sulfate (Delta Mass:79.957)'","CCMSLIB00000078595",2123,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724484","related spectra of 'Abacavir sulfate (Delta Mass:176.032)'","CCMSLIB00000078595",2124,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012725368","related spectra of 'abacavir (Delta Mass:-40.032)'","CCMSLIB00010134211|CCMSLIB00010134212|CCMSLIB00010134213|CCMSLIB00010134214|CCMSLIB00010134215|CCMSLIB00010134216|CCMSLIB00010134217|CCMSLIB00010134218|CCMSLIB00010142710|CCMSLIB00010142711|CCMSLIB00010142712|CCMSLIB00010142713|CCMSLIB00010142714|CCMSLIB00010142715|CCMSLIB00010142716|CCMSLIB00010142717",3008,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724414","related spectra of 'abacavir (Delta Mass:-40.03)'","CCMSLIB00010134211|CCMSLIB00010134212|CCMSLIB00010134213|CCMSLIB00010134214|CCMSLIB00010134215|CCMSLIB00010134216|CCMSLIB00010134217|CCMSLIB00010134218|CCMSLIB00010142710|CCMSLIB00010142711|CCMSLIB00010142712|CCMSLIB00010142713|CCMSLIB00010142714|CCMSLIB00010142715|CCMSLIB00010142716|CCMSLIB00010142717",2054,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724415","related spectra of 'abacavir (Delta Mass:31.99)'","CCMSLIB00010134211|CCMSLIB00010134212|CCMSLIB00010134213|CCMSLIB00010134214|CCMSLIB00010134215|CCMSLIB00010134216|CCMSLIB00010134217|CCMSLIB00010134218|CCMSLIB00010142710|CCMSLIB00010142711|CCMSLIB00010142712|CCMSLIB00010142713|CCMSLIB00010142714|CCMSLIB00010142715|CCMSLIB00010142716|CCMSLIB00010142717",2055,"Drug_suspect","abacavir","abacavir","HIV nucleoside analog reverse transcriptase inhibitor (HIV NRTI)","infectious disease","human immunodeficiency virus (HIV-1)","nucleoside reverse transcriptase inhibitor","MCGSCOLBFJQGHM-SCZZXKLOSA-N"
"CCMSLIB00012724423","related spectra of '(+)-Ajmaline (Delta Mass:2.016)'","CCMSLIB00010139174|CCMSLIB00010139175|CCMSLIB00010139176|CCMSLIB00010139177|CCMSLIB00010139178|CCMSLIB00010139179",2063,"Drug_suspect","Ajmaline","ajmaline","no_match","cardiology","Wolff-Parkinson-White Syndrome (WPW)","sodium channel blocker","CJDRUOGAGYHKKD-RQBLFBSQSA-N"
"CCMSLIB00012724424","related spectra of '(S)-Ketorolac (Delta Mass:-43.99)'","CCMSLIB00010143678|CCMSLIB00010143679|CCMSLIB00010143680|CCMSLIB00010143681|CCMSLIB00010143682",2064,"Drug_suspect","Ketorolac","ketorolac","nonsteroidal anti-inflammatory drug","rheumatology|neurology/psychiatry","rheumatoid arthritis|osteoarthritis|dysmenorrhea|muscle pain","cyclooxygenase inhibitor","OZWKMVRBQXNZKK-NSHDSACASA-N"
"CCMSLIB00012724425","related spectra of '(S)-Ketorolac (Delta Mass:12.036)'","CCMSLIB00010143678|CCMSLIB00010143679|CCMSLIB00010143680|CCMSLIB00010143681|CCMSLIB00010143682",2065,"Drug_suspect","Ketorolac","ketorolac","nonsteroidal anti-inflammatory drug","rheumatology|neurology/psychiatry","rheumatoid arthritis|osteoarthritis|dysmenorrhea|muscle pain","cyclooxygenase inhibitor","OZWKMVRBQXNZKK-NSHDSACASA-N"
"CCMSLIB00012724426","related spectra of '(S)-Ketorolac (Delta Mass:14.016)'","CCMSLIB00010143678|CCMSLIB00010143679|CCMSLIB00010143680|CCMSLIB00010143681|CCMSLIB00010143682",2066,"Drug_suspect","Ketorolac","ketorolac","nonsteroidal anti-inflammatory drug","rheumatology|neurology/psychiatry","rheumatoid arthritis|osteoarthritis|dysmenorrhea|muscle pain","cyclooxygenase inhibitor","OZWKMVRBQXNZKK-NSHDSACASA-N"
"CCMSLIB00012724427","related spectra of '0358_Sulfamethazine (Delta Mass:0.984)'","CCMSLIB00000579538",2067,"Drug_suspect|Background/QAQC","sulfamethazine","sulfamethazine","sulfonamide antimicrobial","infectious disease","gram-negative bacterial infections|gram-positive bacterial infections","PABA antagonist","ASWVTGNCAZCNNR-UHFFFAOYSA-N"
"CCMSLIB00012724428","related spectra of '0358_Sulfamethazine (Delta Mass:14.016)'","CCMSLIB00000579538",2068,"Drug_suspect|Background/QAQC","sulfamethazine","sulfamethazine","sulfonamide antimicrobial","infectious disease","gram-negative bacterial infections|gram-positive bacterial infections","PABA antagonist","ASWVTGNCAZCNNR-UHFFFAOYSA-N"
"CCMSLIB00012724429","related spectra of '0358_Sulfamethazine (Delta Mass:27.995)'","CCMSLIB00000579538",2069,"Drug_suspect|Background/QAQC","sulfamethazine","sulfamethazine","sulfonamide antimicrobial","infectious disease","gram-negative bacterial infections|gram-positive bacterial infections","PABA antagonist","ASWVTGNCAZCNNR-UHFFFAOYSA-N"
"CCMSLIB00012724430","related spectra of '0358_Sulfamethazine (Delta Mass:162.053)'","CCMSLIB00000579538",2070,"Drug_suspect|Background/QAQC","sulfamethazine","sulfamethazine","sulfonamide antimicrobial","infectious disease","gram-negative bacterial infections|gram-positive bacterial infections","PABA antagonist","ASWVTGNCAZCNNR-UHFFFAOYSA-N"
"CCMSLIB00012724431","related spectra of '0465_10,11-Dihydro-10,11-dihydroxycarbamazepine (Delta Mass:-2.016)'","CCMSLIB00000579630",2071,"Drug_suspect","Dihydroxycarbazepine","carbamazepine","mood stabilizer","neurology/psychiatry","seizures|trigeminal neuralgia","carboxamide antiepileptic","PRGQOPPDPVELEG-UHFFFAOYSA-N"
"CCMSLIB00012724432","related spectra of '0534_Amitriptyline (Delta Mass:1.003)'","CCMSLIB00000579660",2072,"Drug_suspect|Background/QAQC","amitriptyline","amitriptyline","tricyclic antidepressant (TCA)","neurology/psychiatry","depression|chronic pain","norepinephrine reuptake inhibitor|serotonin reuptake inhibitor","KRMDCWKBEZIMAB-UHFFFAOYSA-N"
"CCMSLIB00012724433","related spectra of '0534_Amitriptyline (Delta Mass:15.995)'","CCMSLIB00000579660",2073,"Drug_suspect|Background/QAQC","amitriptyline","amitriptyline","tricyclic antidepressant (TCA)","neurology/psychiatry","depression|chronic pain","norepinephrine reuptake inhibitor|serotonin reuptake inhibitor","KRMDCWKBEZIMAB-UHFFFAOYSA-N"
"CCMSLIB00012724434","related spectra of '0534_Amitriptyline (Delta Mass:28.991)'","CCMSLIB00000579660",2074,"Drug_suspect|Background/QAQC","amitriptyline","amitriptyline","tricyclic antidepressant (TCA)","neurology/psychiatry","depression|chronic pain","norepinephrine reuptake inhibitor|serotonin reuptake inhibitor","KRMDCWKBEZIMAB-UHFFFAOYSA-N"
"CCMSLIB00012724435","related spectra of '105827-78-9 (Delta Mass:1.003)'","CCMSLIB00010145037|CCMSLIB00010145038|CCMSLIB00010145039|CCMSLIB00010145040|CCMSLIB00010145041",2075,"Drug_suspect","imidacloprid","imidacloprid","insecticide","infectious disease","fleas","acetylcholine receptor antagonist","YWTYJOPNNQFBPC-UHFFFAOYSA-N"
"CCMSLIB00012724436","related spectra of '105827-78-9 (Delta Mass:2.004)'","CCMSLIB00010145037|CCMSLIB00010145038|CCMSLIB00010145039|CCMSLIB00010145040|CCMSLIB00010145041",2076,"Drug_suspect","imidacloprid","imidacloprid","insecticide","infectious disease","fleas","acetylcholine receptor antagonist","YWTYJOPNNQFBPC-UHFFFAOYSA-N"
"CCMSLIB00012724437","related spectra of '105827-78-9 (Delta Mass:15.995)'","CCMSLIB00010145037|CCMSLIB00010145038|CCMSLIB00010145039|CCMSLIB00010145040|CCMSLIB00010145041",2077,"Drug_suspect","imidacloprid","imidacloprid","insecticide","infectious disease","fleas","acetylcholine receptor antagonist","YWTYJOPNNQFBPC-UHFFFAOYSA-N"
"CCMSLIB00012724438","related spectra of '2-Acetamido-2-Deoxy-D-Mannopyranose (Delta Mass:-18.011)'","CCMSLIB00010131499|CCMSLIB00010131500|CCMSLIB00010131501|CCMSLIB00010131502|CCMSLIB00010131503|CCMSLIB00010131504|CCMSLIB00010131505|CCMSLIB00010131506|CCMSLIB00010131507|CCMSLIB00010131508",2078,"Drug_suspect","2-Acetamido-2-Deoxy-D-Mannopyranose","N-acetylmannosamine","no_match",NA,NA,NA,"OVRNDRQMDRJTHS-ZTVVOAFPSA-N"
"CCMSLIB00012724439","related spectra of '2-Acetamido-2-Deoxy-D-Mannopyranose (Delta Mass:14.016)'","CCMSLIB00010131499|CCMSLIB00010131500|CCMSLIB00010131501|CCMSLIB00010131502|CCMSLIB00010131503|CCMSLIB00010131504|CCMSLIB00010131505|CCMSLIB00010131506|CCMSLIB00010131507|CCMSLIB00010131508",2079,"Drug_suspect","2-Acetamido-2-Deoxy-D-Mannopyranose","N-acetylmannosamine","no_match",NA,NA,NA,"OVRNDRQMDRJTHS-ZTVVOAFPSA-N"
"CCMSLIB00012724440","related spectra of '2-Acetamido-2-Deoxy-D-Mannopyranose (Delta Mass:18.01)'","CCMSLIB00010131499|CCMSLIB00010131500|CCMSLIB00010131501|CCMSLIB00010131502|CCMSLIB00010131503|CCMSLIB00010131504|CCMSLIB00010131505|CCMSLIB00010131506|CCMSLIB00010131507|CCMSLIB00010131508",2080,"Drug_suspect","2-Acetamido-2-Deoxy-D-Mannopyranose","N-acetylmannosamine","no_match",NA,NA,NA,"OVRNDRQMDRJTHS-ZTVVOAFPSA-N"
"CCMSLIB00012724441","related spectra of '2-Acetamido-2-Deoxy-D-Mannopyranose (Delta Mass:28.031)'","CCMSLIB00010131499|CCMSLIB00010131500|CCMSLIB00010131501|CCMSLIB00010131502|CCMSLIB00010131503|CCMSLIB00010131504|CCMSLIB00010131505|CCMSLIB00010131506|CCMSLIB00010131507|CCMSLIB00010131508",2081,"Drug_suspect","2-Acetamido-2-Deoxy-D-Mannopyranose","N-acetylmannosamine","no_match",NA,NA,NA,"OVRNDRQMDRJTHS-ZTVVOAFPSA-N"
"CCMSLIB00012724442","related spectra of '2-Ethylhexyl 2-cyano-3,3-diphenylacrylate (Delta Mass:-2.016)'","CCMSLIB00000579921",2082,"Drug_suspect","octocrylene","octocrylene","no_match","dermatology","sunscreen lotion",NA,"FMJSMJQBSVNSBF-UHFFFAOYSA-N"
"CCMSLIB00012724443","related spectra of '2-Ethylhexyl 2-cyano-3,3-diphenylacrylate (Delta Mass:17.027)'","CCMSLIB00000579921",2083,"Drug_suspect","octocrylene","octocrylene","no_match","dermatology","sunscreen lotion",NA,"FMJSMJQBSVNSBF-UHFFFAOYSA-N"
"CCMSLIB00012724444","related spectra of '2-Ethylhexyl 2-cyano-3,3-diphenylacrylate (Delta Mass:30.01)'","CCMSLIB00000579921",2084,"Drug_suspect","octocrylene","octocrylene","no_match","dermatology","sunscreen lotion",NA,"FMJSMJQBSVNSBF-UHFFFAOYSA-N"
"CCMSLIB00012724445","related spectra of '2361_pantoprazole (Delta Mass:-15.995)'","CCMSLIB00000579370|CCMSLIB00000579654",2085,"Drug_suspect","pantoprazole","pantoprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome","ATPase inhibitor","IQPSEEYGBUAQFF-UHFFFAOYSA-N"
"CCMSLIB00012724446","related spectra of '2573_Sertraline (Delta Mass:1.993)'","CCMSLIB00000579705",2086,"Drug_suspect","sertraline","sertraline","selective serotonin reuptake inhibitor (SSRI)","neurology/psychiatry","depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder","selective serotonin reuptake inhibitor (SSRI)","VGKDLMBJGBXTGI-SJCJKPOMSA-N"
"CCMSLIB00012724447","related spectra of '29122-68-7 (Delta Mass:14.999)'",NA,2087,"Drug_suspect",NA,NA,NA,NA,NA,NA,NA
"CCMSLIB00012724448","related spectra of '3-O-(2-methoxyethyl) 5-O-propan-2-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate (Delta Mass:-14.016)'","CCMSLIB00000079086",2088,"Drug_suspect","nimodipine","nimodipine","dihydropyridine calcium channel blocker","neurology/psychiatry","subarachnoid hemorrhage|cerebral vasospasm","calcium channel blocker","UIAGMCDKSXEBJQ-UHFFFAOYSA-N"
"CCMSLIB00012724449","related spectra of '302776-68-7 (Delta Mass:-28.031)'","CCMSLIB00010151335|CCMSLIB00010151336|CCMSLIB00010151337|CCMSLIB00010151338|CCMSLIB00010151339|CCMSLIB00010151340|CCMSLIB00010151341|CCMSLIB00010151342",2089,"Drug_suspect","302776-68-7","no_match","no_match","no_match","no_match","no_match","FDATWRLUYRHCJE-UHFFFAOYSA-N"
"CCMSLIB00012724450","related spectra of '317318-70-0 (Delta Mass:31.99)'","CCMSLIB00010146783|CCMSLIB00010146784|CCMSLIB00010146785|CCMSLIB00010146786|CCMSLIB00010146787|CCMSLIB00010146788|CCMSLIB00010146789|CCMSLIB00010146790",2090,"Drug_suspect","317318-70-0","GW-501516","no_match",NA,NA,"PPAR receptor agonist","YDBLKRPLXZNVNB-UHFFFAOYSA-N"
"CCMSLIB00012724451","related spectra of '5-hydroxyomeprazole (Delta Mass:-14.016)'","CCMSLIB00004679244",2091,"Drug_suspect","Hydroxyomeprazole","omeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","CMZHQFXXAAIBKE-UHFFFAOYSA-N"
"CCMSLIB00012724452","related spectra of '5-hydroxyomeprazole (Delta Mass:-4.031)'","CCMSLIB00004679244",2092,"Drug_suspect","Hydroxyomeprazole","omeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","CMZHQFXXAAIBKE-UHFFFAOYSA-N"
"CCMSLIB00012724453","related spectra of '5-hydroxyomeprazole (Delta Mass:15.995)'","CCMSLIB00004679244",2093,"Drug_suspect","Hydroxyomeprazole","omeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","CMZHQFXXAAIBKE-UHFFFAOYSA-N"
"CCMSLIB00012724454","related spectra of '5-hydroxyomeprazole (Delta Mass:27.995)'","CCMSLIB00004679244",2094,"Drug_suspect","Hydroxyomeprazole","omeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","CMZHQFXXAAIBKE-UHFFFAOYSA-N"
"CCMSLIB00012724455","related spectra of '5-hydroxyomeprazole (Delta Mass:192.027)'","CCMSLIB00004679244",2095,"Drug_suspect","Hydroxyomeprazole","omeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","CMZHQFXXAAIBKE-UHFFFAOYSA-N"
"CCMSLIB00012724456","related spectra of '6,7-dimethoxy-3-{4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl}-1,3-dihydro-2-benzofuran-1-one (Delta Mass:37.958)'","CCMSLIB00005725047|CCMSLIB00005725048|CCMSLIB00005725049|CCMSLIB00005725050|CCMSLIB00005725051|CCMSLIB00005725052",2096,"Drug_suspect","noscapine","noscapine","opium alkaloids and derivatives","pulmonary","cough suppressant","bradykinin receptor antagonist|tubulin polymerization inhibitor","AKNNEGZIBPJZJG-UHFFFAOYSA-N"
"CCMSLIB00012724457","related spectra of '6,7-dimethoxy-3-{4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl}-1,3-dihydro-2-benzofuran-1-one (Delta Mass:15.958)'","CCMSLIB00005725047|CCMSLIB00005725048|CCMSLIB00005725049|CCMSLIB00005725050|CCMSLIB00005725051|CCMSLIB00005725052",2097,"Drug_suspect","noscapine","noscapine","opium alkaloids and derivatives","pulmonary","cough suppressant","bradykinin receptor antagonist|tubulin polymerization inhibitor","AKNNEGZIBPJZJG-UHFFFAOYSA-N"
"CCMSLIB00012724458","related spectra of '6,7-dimethoxy-3-{4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl}-1,3-dihydro-2-benzofuran-1-one (Delta Mass:15.995)'","CCMSLIB00005725047|CCMSLIB00005725048|CCMSLIB00005725049|CCMSLIB00005725050|CCMSLIB00005725051|CCMSLIB00005725052",2098,"Drug_suspect","noscapine","noscapine","opium alkaloids and derivatives","pulmonary","cough suppressant","bradykinin receptor antagonist|tubulin polymerization inhibitor","AKNNEGZIBPJZJG-UHFFFAOYSA-N"
"CCMSLIB00012724459","related spectra of '6,7-dimethoxy-3-{4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl}-1,3-dihydro-2-benzofuran-1-one (Delta Mass:18.01)'","CCMSLIB00005725047|CCMSLIB00005725048|CCMSLIB00005725049|CCMSLIB00005725050|CCMSLIB00005725051|CCMSLIB00005725052",2099,"Drug_suspect","noscapine","noscapine","opium alkaloids and derivatives","pulmonary","cough suppressant","bradykinin receptor antagonist|tubulin polymerization inhibitor","AKNNEGZIBPJZJG-UHFFFAOYSA-N"
"CCMSLIB00012724460","related spectra of '6,7-dimethoxy-3-{4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl}-1,3-dihydro-2-benzofuran-1-one (Delta Mass:24.995)'","CCMSLIB00005725047|CCMSLIB00005725048|CCMSLIB00005725049|CCMSLIB00005725050|CCMSLIB00005725051|CCMSLIB00005725052",2100,"Drug_suspect","noscapine","noscapine","opium alkaloids and derivatives","pulmonary","cough suppressant","bradykinin receptor antagonist|tubulin polymerization inhibitor","AKNNEGZIBPJZJG-UHFFFAOYSA-N"
"CCMSLIB00012724461","related spectra of '69-53-4 (Delta Mass:12.0)'","CCMSLIB00010135367|CCMSLIB00010135368|CCMSLIB00010135369|CCMSLIB00010135370|CCMSLIB00010135371|CCMSLIB00010143832|CCMSLIB00010143833|CCMSLIB00010143834|CCMSLIB00010143835|CCMSLIB00010143836|CCMSLIB00010143837|CCMSLIB00010143838|CCMSLIB00010143839",2101,"Drug_suspect","69-53-4","ampicillin","penicillin class antibacterial","infectious disease","respiratory tract infections|meningitis|bacterial septicemia|endocarditis|urinary tract infections|gastrointestinal infections","bacterial cell wall synthesis inhibitor","AVKUERGKIZMTKX-NJBDSQKTSA-N"
"CCMSLIB00012724462","related spectra of '69-53-4 (Delta Mass:14.016)'","CCMSLIB00010135367|CCMSLIB00010135368|CCMSLIB00010135369|CCMSLIB00010135370|CCMSLIB00010135371|CCMSLIB00010143832|CCMSLIB00010143833|CCMSLIB00010143834|CCMSLIB00010143835|CCMSLIB00010143836|CCMSLIB00010143837|CCMSLIB00010143838|CCMSLIB00010143839",2102,"Drug_suspect","69-53-4","ampicillin","penicillin class antibacterial","infectious disease","respiratory tract infections|meningitis|bacterial septicemia|endocarditis|urinary tract infections|gastrointestinal infections","bacterial cell wall synthesis inhibitor","AVKUERGKIZMTKX-NJBDSQKTSA-N"
"CCMSLIB00012724463","related spectra of '69227-93-6 (Delta Mass:-56.062)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2103,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
"CCMSLIB00012724464","related spectra of '69227-93-6 (Delta Mass:-42.047)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2104,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
"CCMSLIB00012724465","related spectra of '69227-93-6 (Delta Mass:-28.031)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2105,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
"CCMSLIB00012724466","related spectra of '69227-93-6 (Delta Mass:-17.026)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2106,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
"CCMSLIB00012724467","related spectra of '69227-93-6 (Delta Mass:-14.016)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2107,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
"CCMSLIB00012724468","related spectra of '69227-93-6 (Delta Mass:28.031)'","CCMSLIB00010133712|CCMSLIB00010133713|CCMSLIB00010133714|CCMSLIB00010133715|CCMSLIB00010133716",2108,"Drug_suspect","69227-93-6","no_match","no_match","no_match","no_match","no_match","NLEBIOOXCVAHBD-QKMCSOCLSA-N"
