analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012722371,related spectra of 'rimantadine (delta mass:-16.03)',CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,-16.03,11,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722372,"related spectra of 'methylenedioxyethamphetamine (delta mass:-43.04)', 'tenamfetamine (delta mass:-15.01)'",CCMSLIB00000568514|CCMSLIB00000569789|CCMSLIB00000570211|CCMSLIB00005732682|CCMSLIB00005732727|CCMSLIB00005734389,-43.04|-15.01,12,Drug_analog,methylenedioxyethamphetamine|tenamfetamine,central nervous system stimulant,drug of abuse,psychostimulant,monoamine releasing agent,PVXVWWANJIWJOO-UHFFFAOYSA-N|NGBBVGZWCFBOGO-UHFFFAOYSA-N
CCMSLIB00012722373,related spectra of 'artemisinin (delta mass:-116.06)',CCMSLIB00005767817,-116.06,13,Drug_analog,artemisinin,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,BLUAFEHZUWYNDE-NNWCWBAJSA-N
CCMSLIB00012722374,related spectra of 'artemisinin (delta mass:-116.06)',CCMSLIB00005767817,-116.06,14,Drug_analog,artemisinin,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,BLUAFEHZUWYNDE-NNWCWBAJSA-N
CCMSLIB00012722375,related spectra of 'artemisinin (delta mass:-116.06)',CCMSLIB00005767817,-116.06,15,Drug_analog,artemisinin,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,BLUAFEHZUWYNDE-NNWCWBAJSA-N
CCMSLIB00012722376,"related spectra of 'midomafetamine (delta mass:-26.02)', 'methylenedioxyethamphetamine (delta mass:-40.03)', 'tenamfetamine (delta mass:-12.0)'",CCMSLIB00000568423|CCMSLIB00000568514|CCMSLIB00000568798|CCMSLIB00000568971|CCMSLIB00000570211|CCMSLIB00000570392|CCMSLIB00005730097|CCMSLIB00005732682|CCMSLIB00005732727|CCMSLIB00005733535|CCMSLIB00005734234|CCMSLIB00005735101,-26.02|-40.03|-12.00,16,Drug_analog,midomafetamine|methylenedioxyethamphetamine|tenamfetamine,central nervous system stimulant,drug of abuse,psychostimulant,monoamine releasing agent,SHXWCVYOXRDMCX-UHFFFAOYSA-N|PVXVWWANJIWJOO-UHFFFAOYSA-N|NGBBVGZWCFBOGO-UHFFFAOYSA-N
CCMSLIB00012722377,related spectra of 'rimantadine (delta mass:-12.0)',CCMSLIB00000563621|CCMSLIB00000566331|CCMSLIB00000566347|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005732527|CCMSLIB00005733302|CCMSLIB00010131282|CCMSLIB00010131285,-12,17,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722378,related spectra of 'gabapentin (delta mass:-2.02)',CCMSLIB00000223777,-2.02,18,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722379,related spectra of 'gabapentin (delta mass:-0.98)',CCMSLIB00000209572|CCMSLIB00000209574|CCMSLIB00000209578|CCMSLIB00000209584|CCMSLIB00000209586|CCMSLIB00000209588|CCMSLIB00000209590|CCMSLIB00005755116|CCMSLIB00005755138|CCMSLIB00005775299|CCMSLIB00010132423|CCMSLIB00010132425|CCMSLIB00010132426|CCMSLIB00010132428|CCMSLIB00010132429|CCMSLIB00010137479|CCMSLIB00010137480|CCMSLIB00010137481|CCMSLIB00010137482,-0.98,19,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722380,related spectra of 'tranexamic acid (delta mass:14.02)',CCMSLIB00006681788|CCMSLIB00006682727,14.02,20,Drug_analog,tranexamic acid,antifibrinolytic,hematology,hemophilia|heavy menstrual bleeding,antifibrinolytic|plasminogen activator inhibitor,GYDJEQRTZSCIOI-UHFFFAOYSA-N
CCMSLIB00012722381,related spectra of 'gabapentin (delta mass:0.98)',CCMSLIB00000223777|CCMSLIB00003137913,0.98,21,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722382,related spectra of 'oxandrolone (delta mass:-132.08)',CCMSLIB00005723841,-132.08,22,Drug_analog,oxandrolone,androstan derivatives,endocrinology,weight gain,androgen receptor agonist,CCCXHTHETXUUDU-REBFHUNPSA-N
CCMSLIB00012722383,related spectra of 'gabapentin (delta mass:1.0)',CCMSLIB00000209572|CCMSLIB00000209574|CCMSLIB00000209576|CCMSLIB00000209578|CCMSLIB00000209584|CCMSLIB00000209586|CCMSLIB00000209588|CCMSLIB00000209590|CCMSLIB00005755116|CCMSLIB00005755138|CCMSLIB00005775299|CCMSLIB00010132423|CCMSLIB00010132425|CCMSLIB00010132426|CCMSLIB00010132428|CCMSLIB00010132429|CCMSLIB00010137479|CCMSLIB00010137480|CCMSLIB00010137481|CCMSLIB00010137482,1,23,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722384,related spectra of 'methoxsalen (delta mass:-40.03)',CCMSLIB00004694993,-40.03,24,Drug_analog,methoxsalen,photoactivated radical generator|psoralen,dermatology,psoriasis,DNA synthesis inhibitor,QXKHYNVANLEOEG-UHFFFAOYSA-N
CCMSLIB00012722385,related spectra of 'methoxsalen (delta mass:-40.03)',CCMSLIB00004694993,-40.03,25,Drug_analog,methoxsalen,photoactivated radical generator|psoralen,dermatology,psoriasis,DNA synthesis inhibitor,QXKHYNVANLEOEG-UHFFFAOYSA-N
CCMSLIB00012722386,related spectra of 'valproic acid (delta mass:29.97)',CCMSLIB00006679577,29.97,26,Drug_analog,valproic acid,antiepileptic drug (AED)|mood stabilizer,neurology/psychiatry,epilepsy|seizures,benzodiazepine receptor agonist|HDAC inhibitor,NIJJYAXOARWZEE-UHFFFAOYSA-N
CCMSLIB00012722387,related spectra of 'memantine (delta mass:-4.03)',CCMSLIB00006115995|CCMSLIB00006116000|CCMSLIB00006116002,-4.03,27,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722388,related spectra of 'rimantadine (delta mass:-4.03)',CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,-4.03,28,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722389,related spectra of 'memantine (delta mass:-4.03)',CCMSLIB00000567558|CCMSLIB00005732225,-4.03,29,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722390,related spectra of 'memantine (delta mass:-4.03)',CCMSLIB00006115995|CCMSLIB00006116000|CCMSLIB00006116002,-4.03,30,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722391,related spectra of 'levamisole (delta mass:-27.05)',CCMSLIB00005772378,-27.05,31,Drug_analog,levamisole,imidazothiazole derivatives|veterinary,infectious disease,gastrointestinal parasites,acetylcholine receptor agonist,HLFSDGLLUJUHTE-SNVBAGLBSA-N
CCMSLIB00012722392,related spectra of 'phenacetin (delta mass:-2.02)',CCMSLIB00005777919,-2.02,32,Drug_analog,phenacetin,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,CPJSUEIXXCENMM-UHFFFAOYSA-N
CCMSLIB00012722393,related spectra of 'memantine (delta mass:-2.02)',CCMSLIB00006115998,-2.02,33,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722394,"related spectra of 'memantine (delta mass:-2.02)', 'memantine (delta mass:-2.01)'",CCMSLIB00006115983|CCMSLIB00010145982|CCMSLIB00010145983|CCMSLIB00010145986,-2.02,34,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722395,related spectra of 'esculetin (delta mass:2.02)',CCMSLIB00000222756|CCMSLIB00005743726,2.02,35,Drug_analog,esculetin,no_match,NA,NA,antioxidant,ILEDWLMCKZNDJK-UHFFFAOYSA-N
CCMSLIB00012722396,related spectra of 'hymecromone (delta mass:2.0)',CCMSLIB00000220779|CCMSLIB00000222870|CCMSLIB00005757745,2,36,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722397,related spectra of 'hymecromone (delta mass:4.03)',CCMSLIB00005760901,4.03,37,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722398,related spectra of 'hymecromone (delta mass:2.02)',CCMSLIB00005761638|CCMSLIB00005762575|CCMSLIB00005765192|CCMSLIB00005765896,2.02,38,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722399,related spectra of 'midomafetamine (delta mass:-15.01)',CCMSLIB00000568798|CCMSLIB00005734234,-15.01,39,Drug_analog,midomafetamine,central nervous system stimulant,drug of abuse,psychostimulant,monoamine releasing agent,SHXWCVYOXRDMCX-UHFFFAOYSA-N
CCMSLIB00012722400,related spectra of 'phenacetin (delta mass:-0.98)',CCMSLIB00005777919,-0.98,40,Drug_analog,phenacetin,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,CPJSUEIXXCENMM-UHFFFAOYSA-N
CCMSLIB00012722401,related spectra of '4-methylbenzylidene camphor (delta mass:-76.03)',CCMSLIB00010132864|CCMSLIB00010132866,-76.03,41,Drug_analog,4-methylbenzylidene camphor,no_match,dermatology,sunscreen lotion,endocrine disruptor,HEOCBCNFKCOKBX-KAMYIIQDSA-N
CCMSLIB00012722402,related spectra of '4-methylbenzylidene camphor (delta mass:-76.03)',CCMSLIB00010132864,-76.03,42,Drug_analog,4-methylbenzylidene camphor,no_match,dermatology,sunscreen lotion,endocrine disruptor,HEOCBCNFKCOKBX-KAMYIIQDSA-N
CCMSLIB00012722403,related spectra of '4-methylbenzylidene camphor (delta mass:-76.03)',CCMSLIB00010132866,-76.03,43,Drug_analog,4-methylbenzylidene camphor,no_match,dermatology,sunscreen lotion,endocrine disruptor,HEOCBCNFKCOKBX-KAMYIIQDSA-N
CCMSLIB00012722404,related spectra of '4-methylbenzylidene camphor (delta mass:-76.03)',CCMSLIB00010132866,-76.03,44,Drug_analog,4-methylbenzylidene camphor,no_match,dermatology,sunscreen lotion,endocrine disruptor,HEOCBCNFKCOKBX-KAMYIIQDSA-N
CCMSLIB00012722405,related spectra of '4-methylbenzylidene camphor (delta mass:-76.03)',CCMSLIB00010132866,-76.03,45,Drug_analog,4-methylbenzylidene camphor,no_match,dermatology,sunscreen lotion,endocrine disruptor,HEOCBCNFKCOKBX-KAMYIIQDSA-N
CCMSLIB00012722406,related spectra of 'hymecromone (delta mass:3.99)',CCMSLIB00005764064,3.99,46,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722407,related spectra of 'hymecromone (delta mass:3.99)',CCMSLIB00000220779|CCMSLIB00000222870|CCMSLIB00000565034|CCMSLIB00000568353|CCMSLIB00005726695|CCMSLIB00005757745,3.99,47,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722408,related spectra of 'hymecromone (delta mass:3.99)',CCMSLIB00005764064,3.99,48,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722409,related spectra of 'hymecromone (delta mass:3.99)',CCMSLIB00000220779|CCMSLIB00000222870|CCMSLIB00000565034|CCMSLIB00000568353|CCMSLIB00005726695|CCMSLIB00005757745,3.99,49,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722410,related spectra of 'exemestane (delta mass:-116.08)',CCMSLIB00000208693|CCMSLIB00000208694|CCMSLIB00000208699|CCMSLIB00000208700,-116.08,50,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722411,related spectra of 'exemestane (delta mass:-116.06)',CCMSLIB00000005322,-116.06,51,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-DAELLWKTSA-N
CCMSLIB00012722412,related spectra of 'exemestane (delta mass:-116.06)',CCMSLIB00000208693|CCMSLIB00000208699,-116.06,52,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722413,related spectra of 'exemestane (delta mass:-116.06)',CCMSLIB00000208693|CCMSLIB00000208694|CCMSLIB00000208699|CCMSLIB00000208700,-116.06,53,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722414,"related spectra of 'ethinyl estradiol (delta mass:-116.06)', 'ethinylestradiol (delta mass:-116.06)'",CCMSLIB00000566716|CCMSLIB00000572470|CCMSLIB00005731088|CCMSLIB00005731984,-116.06,54,Drug_analog|Low_confidence,ethinylestradiol|ethinyl estradiol,estrogen,obstetrics/gynecology,contraceptive,estrogen receptor agonist|estrogenic hormone,BFPYWIDHMRZLRN-UHFFFAOYSA-N
CCMSLIB00012722415,related spectra of 'exemestane (delta mass:-116.06)',CCMSLIB00000005322,-116.06,55,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-DAELLWKTSA-N
CCMSLIB00012722416,related spectra of 'rimantadine (delta mass:0.98)',CCMSLIB00000563621|CCMSLIB00000566347|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005732527|CCMSLIB00005733302|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,0.98,56,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722417,related spectra of 'pilocarpine (delta mass:-26.02)',CCMSLIB00005720174,-26.02,57,Drug_analog,pilocarpine,cholinergic agonist,ophthalmology|dental,glaucoma|dry mouth,acetylcholine receptor agonist,QCHFTSOMWOSFHM-WPRPVWTQSA-N
CCMSLIB00012722418,related spectra of 'pilocarpine (delta mass:-26.02)',CCMSLIB00005720174,-26.02,58,Drug_analog,pilocarpine,cholinergic agonist,ophthalmology|dental,glaucoma|dry mouth,acetylcholine receptor agonist,QCHFTSOMWOSFHM-WPRPVWTQSA-N
CCMSLIB00012722419,related spectra of 'methoxsalen (delta mass:-31.99)',CCMSLIB00010117636,-31.99,59,Drug_analog,methoxsalen,photoactivated radical generator|psoralen,dermatology,psoriasis,DNA synthesis inhibitor,QXKHYNVANLEOEG-UHFFFAOYSA-N
CCMSLIB00012722420,related spectra of 'amantadine (delta mass:34.01)',CCMSLIB00006680764|CCMSLIB00010131377,34.01,60,Drug_analog|Low_confidence,amantadine,influenza A M2 protein inhibitor,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,glutamate receptor antagonist,DKNWSYNQZKUICI-UHFFFAOYSA-N|DKNWSYNQZKUICI-URIMCQPQSA-N
CCMSLIB00012722421,related spectra of 'pirfenidone (delta mass:1.0)',CCMSLIB00010142235|CCMSLIB00010142237,1,61,Drug_analog,pirfenidone,pyridone,pulmonary,idiopathic pulmonary fibrosis (IPF),TGF beta receptor inhibitor,ISWRGOKTTBVCFA-UHFFFAOYSA-N
CCMSLIB00012722422,related spectra of 'gabapentin (delta mass:15.97)',CCMSLIB00000223777,15.97,62,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722423,related spectra of 'terbutaline (delta mass:-38.02)',CCMSLIB00000206419|CCMSLIB00005771250,-38.02,63,Drug_analog,terbutaline,beta-2 adrenergic agonist,pulmonary|obstetrics/gynecology,bronchospasm|bronchitis|emphysema|asthma|premature labor,adrenergic receptor agonist,XWTYSIMOBUGWOL-UHFFFAOYSA-N
CCMSLIB00012722424,related spectra of '8-hydroxyquinoline (chimeric precursor selection) (delta mass:43.04)',CCMSLIB00010136909|CCMSLIB00010136910,43.04,64,Drug_analog,8-hydroxyquinoline (chimeric precursor selection),quinoline derivatives|antiseptics,dermatology|obstetrics/gynecology,cosmetic|restore vaginal pH,chelating agent,MCJGNVYPOGVAJF-UHFFFAOYSA-N
CCMSLIB00012722425,related spectra of 'drostanolone (delta mass:-116.08)',CCMSLIB00005723746,-116.08,65,Drug_analog|Low_confidence,drostanolone,no_match,no_match,no_match,no_match,FDGQIVOIHOIMNK-TZAHHXAYSA-N
CCMSLIB00012722426,related spectra of 'antipyrine (delta mass:1.98)',CCMSLIB00005753857,1.98,66,Drug_analog,antipyrine,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,VEQOALNAAJBPNY-UHFFFAOYSA-N
CCMSLIB00012722427,related spectra of 'alpha-asarone (delta mass:-15.99)',CCMSLIB00010142288|CCMSLIB00010142289,-15.99,67,Drug_analog,alpha-asarone,no_match,NA,NA,cytochrome P450 inhibitor|HMGCR inhibitor,RKFAZBXYICVSKP-AATRIKPKSA-N
CCMSLIB00012722428,related spectra of 'hymecromone (delta mass:15.99)',CCMSLIB00005764064,15.99,68,Drug_analog,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722429,related spectra of 'hymecromone (delta mass:16.03)',CCMSLIB00005762575|CCMSLIB00005765192|CCMSLIB00005765896,16.03,69,Drug_analog|Low_confidence,hymecromone,other drugs for bile therapy,gastroenterology,biliary spasms,HA synthesis inhibitor,HSHNITRMYYLLCV-UHFFFAOYSA-N
CCMSLIB00012722430,related spectra of 'diethyltoluamide (delta mass:0.98)',CCMSLIB00005772290,0.98,70,Drug_analog,diethyltoluamide,other insecticides and repellents,NA,NA,ionotropic receptor IR40a activator,MMOXZBCLCQITDF-UHFFFAOYSA-N
CCMSLIB00012722431,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010148398,-17.03,71,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722432,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010149219,-17.03,72,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722433,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010148396|CCMSLIB00010148397|CCMSLIB00010149217|CCMSLIB00010149218|CCMSLIB00010149219,-17.03,73,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722434,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010148396|CCMSLIB00010149217,-17.03,74,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722435,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010149219,-17.03,75,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722436,related spectra of 'mirogabalin (delta mass:-17.03)',CCMSLIB00010149219,-17.03,76,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722437,related spectra of 'diethyltoluamide (delta mass:1.0)',CCMSLIB00005772290|CCMSLIB00006718072,1,77,Drug_analog,diethyltoluamide,other insecticides and repellents,NA,NA,ionotropic receptor IR40a activator,MMOXZBCLCQITDF-UHFFFAOYSA-N
CCMSLIB00012722438,related spectra of 'desvenlafaxine (delta mass:-70.08)',CCMSLIB00000209431|CCMSLIB00000209443,-70.08,78,Drug_analog,desvenlafaxine,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression,serotonin and norepinephrine reuptake inhibitor (SNRI),KYYIDSXMWOZKMP-UHFFFAOYSA-N
CCMSLIB00012722439,related spectra of 'rimantadine (delta mass:13.98)',CCMSLIB00000566331|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131279|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,13.98,79,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
