FeatureID,SpectrumID,row m/z,row retention time,Compound_Name,name_compound,name_parent_compound,cleanup_name_drug_only,Group,chemical_source,pharmacologic_class,therapeutic_area,therapeutic_indication,Final_class
21948,CCMSLIB00013651584,520.1375641,5.3957467,"""related spectra of 'amiodarone (Delta Mass:-125.90)', 'amiodarone  (Delta Mass:-125.90)'""",related spectra of 'amiodarone (Delta Mass:-125.90)'|'amiodarone  (Delta Mass:-125.90)',amiodarone,amiodarone,both,Drug_analog,antiarrhythmic,cardiology,ventricular arrhythmias,antiarrhythmic
10889,CCMSLIB00013650671,749.5177733,3.6194446,"Massbank:EA019009 Azithromycin|(2R,3S,4R,5R,8R,10R,11R,13S,14R)-11-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]",azithromycin,azithromycin,azithromycin,both,Medical,macrolide antimicrobial,infectious disease,pelvic inflammatory disease|pneumonia|urethritis|cervicitis|sinusitis,antibiotics
7457,CCMSLIB00013654454,296.2134287,2.9010656,Spectral Match to Azithromycin from NIST14,azithromycin,azithromycin,azithromycin,both,Medical,macrolide antimicrobial,infectious disease,pelvic inflammatory disease|pneumonia|urethritis|cervicitis|sinusitis,antibiotics
8447,CCMSLIB00013654458,591.4210811,2.9388552,DescladinoseAzithromycin,desosaminylazithromycin,azithromycin,azithromycin,both,Drug metabolite,macrolide antimicrobial,infectious disease,pelvic inflammatory disease|pneumonia|urethritis|cervicitis|sinusitis,antibiotics
14570,CCMSLIB00013643019,764.4652697,4.2037582,"""related spectra of 'azithromycin (Delta Mass:14.96)', 'clarithromycin (Delta Mass:15.99)', 'erythromycin (Delta Mass:29.99)', 'erythromycin (Delta Mass:30.01)', 'davercin  (Delta Mass:4.03)', 'clarithromycin  (Delta Mass:15.99)'""",related spectra of 'azithromycin (Delta Mass:14.96)'|'clarithromycin (Delta Mass:15.99)'|'erythromycin (Delta Mass:29.99)'|'erythromycin (Delta Mass:30.01)'|'davercin  (Delta Mass:4.03)'|'clarithromycin  (Delta Mass:15.99)',azithromycin|clarithromycin|erythromycin,azithromycin,both,Drug_analog,macrolide antimicrobial|no_match,infectious disease|no_match,pelvic inflammatory disease|pneumonia|urethritis|cervicitis|sinusitis|pharyngitis|tonsillitis|bronchitis|skin infections|otitis|listeria|respiratory tract infections|syphilis|amebiasis|chlamydia|diphtheria|erythrasma|no_match,antibiotics
10758,CCMSLIB00013650741,368.2530978,3.523775,"""related spectra of 'azithromycin (Delta Mass:-14.02)', 'gamithromycin  (Delta Mass:-42.05)'""",related spectra of 'azithromycin (Delta Mass:-14.02)'|'gamithromycin  (Delta Mass:-42.05)',azithromycin|gamithromycin ,azithromycin,both,Drug_analog,macrolide antimicrobial|veterinary,infectious disease,pelvic inflammatory disease|pneumonia|urethritis|cervicitis|sinusitis|bovine respiratory disease (BRD),antibiotics
10892,CCMSLIB00013643913,375.2611749,3.591334,related spectra of 'gamithromycin  (Delta Mass:-28.03)',related spectra of 'gamithromycin  (Delta Mass:-28.03)',gamithromycin ,azithromycin,both,Drug_analog,veterinary,infectious disease,bovine respiratory disease (BRD),antibiotics
16711,CCMSLIB00013644959,749.4738273,4.5346704,"""related spectra of 'roxithromycin (Delta Mass:-88.05)', 'clarithromycin  (Delta Mass:1.00)', 'roxithromycin  (Delta Mass:-88.05)', 'erythromycin  (Delta Mass:15.01)'""",related spectra of 'roxithromycin (Delta Mass:-88.05)'|'clarithromycin  (Delta Mass:1.00)'|'roxithromycin  (Delta Mass:-88.05)'|'erythromycin  (Delta Mass:15.01)',roxithromycin|clarithromycin|erythromycin ,clarithromycin|erythromycin,analog_only,Drug_analog,macrolide antimicrobial,infectious disease,respiratory tract infections|urinary tract infections|skin infections|pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|otitis|listeria|syphilis|amebiasis|pelvic inflammatory disease|chlamydia|diphtheria|erythrasma,antibiotics
10902,CCMSLIB00013642561,425.1928451,3.5567236,"Massbank:EA065710 Clindamycin|(2S,4R)-N-[2-chloranyl-1-[(2R,3R,4S,5R,6R)-6-methylsulfanyl-3,4,5-tris(oxidanyl)oxan-2-yl]propyl]-1-methyl-4-propyl-pyrrolidine-2-carboxamide",clindamycin,clindamycin,clindamycin,both,Medical,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
11840,CCMSLIB00013654959,411.1740111,3.7694702,N-desmethylclindamycin,n-desmethylclindamycin,clindamycin,clindamycin,both,Drug metabolite,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
7481,CCMSLIB00013643179,441.1802375,2.8723874,Clindamycin N-oxide,clindamycin n-oxide,clindamycin,clindamycin,both,Drug metabolite,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
7200,CCMSLIB00013650719,457.1859526,2.864359,Clindamycin sulfoxide N-oxide,clindamycin sulfoxide n-oxide,clindamycin,clindamycin,both,Drug metabolite,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
10645,CCMSLIB00013653934,443.1668934,3.577588,related spectra of 'clindamycin (Delta Mass:15.99)',related spectra of 'clindamycin (Delta Mass:15.99)',clindamycin,clindamycin,both,Drug_analog,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
9155,CCMSLIB00013654375,427.1586842,3.0356064,related spectra of 'Clindamycin N-oxide (Delta Mass:-14.016)',related spectra of 'clindamycin n-oxide (delta mass:-14.016)',clindamycin n-oxide,clindamycin,both,Drug_analog,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
9862,CCMSLIB00013642460,455.1584287,3.549207,related spectra of 'Clindamycin sulfoxide (Delta Mass:13.98)',related spectra of 'clindamycin sulfoxide (delta mass:13.98)',clindamycin sulfoxide,clindamycin,both,Drug_analog,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,antibiotics
31989,CCMSLIB00013645820,654.3314534,7.51739,related spectra of 'framycetin (Delta Mass:17.03)',related spectra of 'framycetin (Delta Mass:17.03)',framycetin,framycetin,analog_only,Drug_analog,aminoglycoside antibacterial,infectious disease,first-aid antibiotic|hepatic encephalopathy (HE)|intra-abdominal infections,antibiotics
22691,CCMSLIB00013652563,808.340477,5.6548185,Rifaximin (Xifaxan),rifaximin,rifaximin,rifaximin,both,Medical,rifamycin antibacterial,gastroenterology|infectious disease,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE),antibiotics
22716,CCMSLIB00013652563,786.3589771,5.6439676,Rifaximin,rifaximin ,rifaximin ,rifaximin,both,Medical,rifamycin antibacterial,gastroenterology|infectious disease,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE),antibiotics
19658,CCMSLIB00013654720,744.3539431,4.9702673,related spectra of 'rifaximin  (Delta Mass:-42.01)',related spectra of 'rifaximin  (Delta Mass:-42.01)',rifaximin ,rifaximin,both,Drug_analog,rifamycin antibacterial,gastroenterology|infectious disease,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE),antibiotics
19885,CCMSLIB00013654721,325.0970409,5.114401,related spectra of 'sulfamoxole (Delta Mass:57.02)',related spectra of 'sulfamoxole (Delta Mass:57.02)',sulfamoxole,sulfamoxole,analog_only,Drug_analog,sulfonamide antimicrobial,infectious disease,urinary tract infections,antibiotics
10372,CCMSLIB00013654721,316.0909431,3.4422832,related spectra of 'sulfaquinoxaline (Delta Mass:15.01)',related spectra of 'sulfaquinoxaline (Delta Mass:15.01)',sulfaquinoxaline,sulfaquinoxaline,analog_only,Drug_analog,sulfonamide antimicrobial|veterinary,infectious disease,coccidiosis,antibiotics
5528,CCMSLIB00013654722,256.0813214,2.2500324,"""related spectra of 'sulfisoxazole (Delta Mass:-12.00)', 'sulfafurazole (Delta Mass:-12.00)', 'sulfamoxole (Delta Mass:-12.00)'""",related spectra of 'sulfisoxazole (Delta Mass:-12.00)'|'sulfafurazole (Delta Mass:-12.00)'|'sulfamoxole (Delta Mass:-12.00)',sulfisoxazole|sulfafurazole|sulfamoxole,sulfisoxazole|sulfafurazole|sulfamoxole,analog_only,Drug_analog,sulfonamide antimicrobial,infectious disease,urinary tract infections|gram-negative bacterial infections|gram-positive bacterial infections,antibiotics
17592,CCMSLIB00013654489,358.2385423,4.6955323,oxybutynin,oxybutynin ,oxybutynin ,oxybutynin ,drug_only,Medical,anticholinergic,urology,urinary incontinence,anticholinergic
11974,CCMSLIB00013651891,240.1211737,3.8607051,Massbank:LU132102 Bupropion|2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,bupropion,bupropion,bupropion,both,Medical,aminoketone,neurology/psychiatry,depression,antidepressant
10004,CCMSLIB00013650687,256.1156065,3.3086474,Radafaxine,hydroxybupropion,bupropion,bupropion,both,Drug metabolite,no_match,NA,NA,antidepressant
15128,CCMSLIB00013655155,325.1648545,4.3020644,Massbank:AU151306 Citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile,citalopram,citalopram,citalopram,both,Medical,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
16460,CCMSLIB00013654466,311.1439037,4.3604045,related spectra of 'Massbank:UF411801 Citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile (Delta Mass:-14.016)',related spectra of 'massbank:uf411801 citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile (delta mass:-14.016)',citalopram,citalopram,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
14904,CCMSLIB00013643821,280.1709876,4.1653457,DOXEPIN,doxepin,doxepin,doxepin,both,Medical,tricyclic antidepressant (TCA),neurology/psychiatry,depression|anxiety,antidepressant
14748,CCMSLIB00013655193,266.1562824,4.125494,related spectra of 'doxepin (Delta Mass:-14.02)',related spectra of 'doxepin (Delta Mass:-14.02)',doxepin,doxepin,both,Drug_analog,tricyclic antidepressant (TCA),neurology/psychiatry,depression|anxiety,antidepressant
15717,CCMSLIB00013646611,330.1529633,4.4438767,Spectral Match to Paroxetine from NIST14,paroxetine,paroxetine,paroxetine,both,Medical,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,antidepressant
11490,CCMSLIB00013650672,318.1504241,3.6071596,"""related spectra of 'paroxetine (Delta Mass:-12.00)', 'paroxetine  (Delta Mass:-12.00)'""",related spectra of 'paroxetine (Delta Mass:-12.00)'|'paroxetine  (Delta Mass:-12.00)',paroxetine,paroxetine,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,antidepressant
14869,CCMSLIB00013652923,332.163518,4.3042655,"""related spectra of 'paroxetine (Delta Mass:2.02)', 'paroxetine  (Delta Mass:2.02)'""",related spectra of 'paroxetine (Delta Mass:2.02)'|'paroxetine  (Delta Mass:2.02)',paroxetine,paroxetine,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,antidepressant
20109,CCMSLIB00013642816,306.0805702,5.046579,"Massbank:AU150006 Sertraline|(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine",sertraline,sertraline,sertraline,both,Medical,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
17554,CCMSLIB00013654557,306.0812437,4.6885753,"Massbank:AU150006 Sertraline|(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine",sertraline,sertraline,sertraline,both,Medical,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
17018,CCMSLIB00013654764,292.0659191,4.606859,"Massbank:AU156603 Norsertraline|Desmethylsertraline|(1S,4S)-4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydronaphthalen-1-amine",desmethylsertraline,sertraline,sertraline,both,Drug metabolite,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
17509,CCMSLIB00013654767,308.0780546,4.6871576,related spectra of '2573_Sertraline (Delta Mass:1.993)',related spectra of '2573_sertraline (delta mass:1.993)',sertraline,sertraline,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
17159,CCMSLIB00013654495,275.0387311,4.6280904,related spectra of 'sertraline (Delta Mass:-17.03)',related spectra of 'sertraline (Delta Mass:-17.03)',sertraline,sertraline,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
16081,CCMSLIB00013654549,322.0766346,4.429333,related spectra of 'sertraline (Delta Mass:15.99)',related spectra of 'sertraline (Delta Mass:15.99)',sertraline,sertraline,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
20110,CCMSLIB00013654550,309.082236,5.17916,related spectra of 'sertraline (Delta Mass:3.00)',related spectra of 'sertraline (Delta Mass:3.00)',sertraline,sertraline,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
17702,CCMSLIB00013654487,309.0856089,4.467138,related spectra of 'sertraline (Delta Mass:3.00)',related spectra of 'sertraline (Delta Mass:3.00)',sertraline,sertraline,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,antidepressant
13086,CCMSLIB00013650688,372.1582311,3.9229746,"Massbank:AU227103 Trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one",trazodone,trazodone,trazodone,both,Medical,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
13049,CCMSLIB00013653213,375.1610559,3.9246726,"""related spectra of 'Massbank:AU227106 Trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (Delta Mass:2.999)'""","related spectra of 'massbank:au227106 trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (delta mass:2.999)'",trazodone,trazodone,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
9608,CCMSLIB00013654776,388.1539462,3.2653646,"""related spectra of 'Massbank:AU227106 Trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (Delta Mass:15.995)'""","related spectra of 'massbank:au227106 trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (delta mass:15.995)'",trazodone,trazodone,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
11566,CCMSLIB00013655113,388.1531733,3.6077406,"""related spectra of 'Massbank:AU227106 Trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (Delta Mass:15.995)'""","related spectra of 'massbank:au227106 trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (delta mass:15.995)'",trazodone,trazodone,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
10495,CCMSLIB00013655115,406.163931,3.4966302,"""related spectra of 'Massbank:AU227106 Trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (Delta Mass:34.005)'""","related spectra of 'massbank:au227106 trazodone|2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one (delta mass:34.005)'",trazodone,trazodone,both,Drug_analog,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,antidepressant
11323,CCMSLIB00013655095,278.2113208,4.020527,venlafaxine,venlafaxine ,venlafaxine ,venlafaxine,both,Medical,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,antidepressant
9206,CCMSLIB00013655307,250.1800278,3.1789312,"Massbank:EA265710 N,O-Didesmethylvenlafaxine|4-[1-(1-Hydroxycyclohexyl)-2-(methylamino)ethyl]phenol","n,o-didesmethylvenlafaxine",venlafaxine,venlafaxine,both,Drug metabolite,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,antidepressant
10423,CCMSLIB00013652925,264.1955463,3.685958,Massbank:TUE00822 O-desmethylvenlafaxine,desvenlafaxine,venlafaxine,venlafaxine,both,Drug metabolite,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression,antidepressant
13357,CCMSLIB00013654779,294.2087886,3.9676385,"Massbank:AU212102 Venlafaxine N-Oxide|SCHEMBL3276808|2-(1-hydroxycyclohexyl)-2-(4-methoxyphenyl)-N,N-dimethylethanamine oxide",venlafaxine n-oxide,venlafaxine,venlafaxine,both,Drug metabolite,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,antidepressant
12294,CCMSLIB00013643294,260.2031729,3.792675,related spectra of 'Desvenlafaxine (Delta Mass:-3.995)',related spectra of 'desvenlafaxine (delta mass:-3.995)',desvenlafaxine,venlafaxine,both,Drug_analog,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression,antidepressant
19216,CCMSLIB00013650881,446.1851703,5.0063787,Massbank:LU046702 Glipizide|N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,glipizide,glipizide,glipizide,both,Medical,sulfonylurea,endocrinology,type 2 diabetes mellitus,antidiabetic
12747,CCMSLIB00013653973,462.1796913,3.839304,related spectra of 'glipizide  (Delta Mass:15.99)',related spectra of 'glipizide  (Delta Mass:15.99)',glipizide ,glipizide,both,Drug_analog,sulfonylurea,endocrinology,type 2 diabetes mellitus,antidiabetic
23392,CCMSLIB00013645824,494.147574,5.80414,Massbank:AU235406 Glibenclamide|Glyburide|5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide,glyburide,glyburide,glyburide,both,Medical,sulfonylurea,endocrinology,type 2 diabetes mellitus,antidiabetic
17748,CCMSLIB00013655056,510.149244,4.640789,"""related spectra of 'glyburide (Delta Mass:15.99)', 'glibenclamide (Delta Mass:15.99)'""",related spectra of 'glyburide (Delta Mass:15.99)'|'glibenclamide (Delta Mass:15.99)',glyburide|glibenclamide,glyburide,both,Drug_analog,sulfonylurea,endocrinology,type 2 diabetes mellitus,antidiabetic
19394,CCMSLIB00013655166,477.2302001,5.01238,Spectral Match to Loperamide from NIST14,loperamide,loperamide,loperamide,both,Medical,opioid agonist,gastroenterology,diarrhea,antidiarrhea
17830,CCMSLIB00013655431,463.2126904,4.708325,related spectra of 'Spectral Match to Loperamide from NIST14 (Delta Mass:-14.016)',related spectra of 'spectral match to loperamide from nist14 (delta mass:-14.016)',loperamide,loperamide,both,Drug_analog,opioid agonist,gastroenterology,diarrhea,antidiarrhea
17265,CCMSLIB00013645818,425.2250961,4.7743917,related spectra of 'DIPHENOXYLATE (Delta Mass:-28.031)',related spectra of 'diphenoxylate (delta mass:-28.031)',diphenoxylate,diphenoxylate,analog_only,Drug_analog,antidiarrheal,gastroenterology,diarrhea,antidiarrheal
21042,CCMSLIB00013655057,391.1918099,5.1904583,Meclizine hydrochloride,meclizine,meclizine,meclizine,drug_only,Medical,antiemetic,gastroenterology|neurology/psychiatry,nausea|vomiting|motion sickness,antiemetic
10062,CCMSLIB00013655058,256.0150169,3.4034805,"Massbank:AU152806 Lamotrigine|6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",lamotrigine,lamotrigine,lamotrigine,both,Medical,antiepileptic drug (AED)|mood stabilizer,neurology/psychiatry,epilepsy|bipolar disorder,antiepileptic
12020,CCMSLIB00013655059,256.9991235,3.7807279,related spectra of 'lamotrigine (Delta Mass:0.98)',related spectra of 'lamotrigine (Delta Mass:0.98)',lamotrigine,lamotrigine,both,Drug_analog,antiepileptic drug (AED)|mood stabilizer,neurology/psychiatry,epilepsy|bipolar disorder,antiepileptic
11014,CCMSLIB00013655060,255.1206831,3.8371794,"Massbank:AU228206 10,11-Dihydro-10-Hydroxycarbazepine|Licarbazepine|5-hydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide",eslicarbazepine acetate,eslicarbazepine acetate,licarbazepine,drug_only,Medical,antiepileptic drug (AED),neurology/psychiatry,seizures,antiepileptic drug (AED)
